ID,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,
53,2022-03-12,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,0.04,0.3,Head,11,81,2-2,Hugo Lloris,Alex Telles,Alex Telles,Pass (Dead),Paul Pogba,Pass (Live),
54,2022-03-12,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,0.5,0.57,Right Foot,7,38,1-1,Hugo Lloris,Jadon Sancho,Jadon Sancho,Pass (Live),Nemanja Matić,Pass (Live),
55,2022-03-12,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,Y,0.03,0.24,Right Foot,31,12,0-0,Hugo Lloris,Fred,Raphaël Varane,Pass (Live),Fred,Pass (Live),
56,2022-02-15,Premier League,Matchweek 18,Home,Manchester Utd,Brighton,Y,0.05,0.45,Right Foot,20,51,0-0,Robert Sánchez,Scott McTominay,Cristiano Ronaldo,Take-On,Scott McTominay,Tackle,
57,2021-12-30,Premier League,Matchweek 20,Home,Manchester Utd,Burnley,Y,0.92,0.41,Right Foot,9,35,2-0,Wayne Hennessey,,Scott McTominay,Shot,,,
58,2021-12-11,Premier League,Matchweek 16,Away,Manchester Utd,Norwich City,Y,0.79,0.98,Right Foot,13,75,0-0,Tim Krul,,Cristiano Ronaldo,Fouled,Scott McTominay,Pass (Live),
59,2021-12-02,Premier League,Matchweek 14,Home,Manchester Utd,Arsenal,Y,0.79,0.93,Right Foot,13,70,2-2,Aaron Ramsdale,,Fred,Fouled,Jadon Sancho,Pass (Live),
60,2021-12-02,Premier League,Matchweek 14,Home,Manchester Utd,Arsenal,Y,0.53,0.91,Right Foot,10,52,1-1,Aaron Ramsdale,Marcus Rashford,Marcus Rashford,Pass (Live),Diogo Dalot,Pass (Live),
61,2021-11-23,Champions Lg,Group stage,Away,Manchester Utd,Villarreal,Y,0.18,0.4,Right Foot,21,78,0-0,Gerónimo Rulli,,,,,,
62,2021-11-02,Champions Lg,Group stage,Away,Manchester Utd,Atalanta,Y,0.05,0.47,Right Foot,22,90+1,1-2,Juan Musso,Mason Greenwood,Mason Greenwood,Pass (Live),Cristiano Ronaldo,Pass (Live),Volley
63,2021-11-02,Champions Lg,Group stage,Away,Manchester Utd,Atalanta,Y,0.4,0.9,Right Foot,12,45+1,0-1,Juan Musso,Bruno Fernandes,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),
64,2021-10-30,Premier League,Matchweek 10,Away,Manchester Utd,Tottenham,Y,0.04,0.54,Right Foot,9,39,0-0,Hugo Lloris,Bruno Fernandes,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live),Volley
65,2021-10-20,Champions Lg,Group stage,Home,Manchester Utd,Atalanta,Y,0.29,0.67,Head,9,81,2-2,Juan Musso,Luke Shaw,Luke Shaw,Pass (Live),Fred,Pass (Live),
66,2021-10-12,WCQ,First round,Home,Portugal,Luxembourg,Y*,,,,,87,4-0,Anthony Moris,Rúben Neves,,,,,
